,lottery,date_occured,ball_01,ball_02,ball_03,ball_04,ball_05,ball_06,
416,1805.0,2016-04-02,17,49,27,22,57,31,
417,1804.0,2016-03-30,20,50,48,59,28,21,
418,1803.0,2016-03-26,4,29,8,49,38,50,
419,1802.0,2016-03-23,6,14,2,17,44,13,
420,1801.0,2016-03-19,19,45,43,6,54,34,
421,1800.0,2016-03-16,31,56,16,6,11,19,
422,1799.0,2016-03-12,53,1,3,4,51,39,
423,1798.0,2016-03-10,9,28,45,2,23,53,
424,1797.0,2016-03-08,2,57,35,13,54,14,
425,1796.0,2016-03-05,54,22,48,34,23,53,
426,1795.0,2016-03-02,55,50,42,58,47,30,
427,1794.0,2016-02-27,1,5,37,60,34,40,
428,1793.0,2016-02-24,56,13,22,54,14,58,
429,1792.0,2016-02-20,47,41,18,17,2,16,
430,1791.0,2016-02-17,55,12,50,18,53,46,
431,1790.0,2016-02-13,28,13,11,26,50,27,
432,1789.0,2016-02-10,57,59,6,25,43,58,
433,1788.0,2016-02-06,42,45,56,13,3,59,
434,1787.0,2016-02-04,1,29,13,25,5,26,
435,1786.0,2016-02-02,34,8,2,21,25,6,
436,1785.0,2016-01-30,27,5,42,54,41,11,
437,1784.0,2016-01-27,30,15,54,55,26,4,
438,1783.0,2016-01-23,38,16,21,4,18,6,
439,1782.0,2016-01-20,34,57,47,18,6,52,
440,1781.0,2016-01-16,22,8,52,1,53,49,
441,1780.0,2016-01-14,20,6,33,22,31,34,
442,1779.0,2016-01-12,25,56,30,12,39,57,
443,1778.0,2016-01-09,4,38,48,10,45,40,
444,1777.0,2016-01-06,55,4,44,38,19,52,
445,1776.0,2016-01-02,39,11,48,14,19,10,
446,1775.0,2015-12-31,31,2,51,42,18,56,
447,1774.0,2015-12-26,1,52,30,60,20,12,
448,1773.0,2015-12-24,45,41,39,30,15,59,
449,1772.0,2015-12-22,27,39,19,41,12,45,
450,1771.0,2015-12-19,38,2,27,28,32,20,
451,1770.0,2015-12-16,34,30,41,11,27,26,
452,1769.0,2015-12-12,32,44,54,60,47,37,
453,1768.0,2015-12-09,35,11,7,50,34,5,
454,1767.0,2015-12-05,44,26,39,35,16,45,
455,1766.0,2015-12-02,60,23,22,46,53,41,
456,1765.0,2015-11-28,1,28,56,37,6,58,
457,1764.0,2015-11-25,6,7,41,39,29,55,
458,1763.0,2015-11-21,21,9,15,36,12,31,
459,1762.0,2015-11-18,45,59,42,55,32,26,
460,1761.0,2015-11-14,53,36,10,9,50,55,
461,1760.0,2015-11-13,25,10,24,47,48,36,
462,1759.0,2015-11-10,2,14,21,60,22,51,
463,1758.0,2015-11-07,6,23,16,11,42,36,
464,1757.0,2015-11-04,43,13,28,56,37,25,
465,1756.0,2015-10-31,28,13,6,14,45,35,
466,1755.0,2015-10-28,48,5,30,18,8,2,
467,1754.0,2015-10-24,20,31,40,30,27,53,
468,1753.0,2015-10-21,54,8,45,29,35,15,
469,1752.0,2015-10-17,36,53,55,37,60,9,
470,1751.0,2015-10-15,42,22,51,23,57,15,
471,1750.0,2015-10-13,17,41,48,15,20,31,
472,1749.0,2015-10-10,33,13,14,3,43,29,
473,1748.0,2015-10-07,2,53,13,49,10,41,
474,1747.0,2015-10-03,53,34,59,33,48,6,
475,1746.0,2015-09-30,37,40,6,58,41,18,
476,1745.0,2015-09-26,13,47,60,18,52,9,
477,1744.0,2015-09-23,12,9,56,29,14,42,
478,1743.0,2015-09-19,34,31,29,4,10,35,
479,1742.0,2015-09-16,23,27,21,19,52,11,
480,1741.0,2015-09-12,49,18,20,32,15,48,
481,1740.0,2015-09-09,38,15,47,25,10,53,
482,1739.0,2015-09-05,34,17,9,46,10,32,
483,1738.0,2015-09-02,53,46,28,48,37,12,
484,1737.0,2015-08-29,59,5,51,42,50,8,
